nro, valence, energy, tension, preference, intensity, instrument
1, 4.8276, 6.2759, 6.3103, 5.1034, 5.3103, Accordion Treble Notes
2, 2.7241, 6.7931, 7.3793, 2.931, 4.4138, Cornet
3, 5.3448, 4.931, 4.9655, 5.2759, 4.1724, French Horn
4, 4.3103, 6, 5.8966, 4.5862, 5, French Horn
5, 5.5862, 4.5517, 4.5517, 5.3103, 4.5517, Trombones
6, 4.5172, 5.1034, 5.1034, 4.3448, 4.0345, Trombones
7, 4.1034, 6.8621, 6.931, 4.5517, 4.9655, Trumpets
8, 2.6552, 6.5172, 7.4828, 3.5172, 5.3103, Trumpets
9, 3.4828, 7, 7.2069, 3.8965, 4.5517, Trumpets
10, 4.8276, 5.6207, 5.6552, 5.1724, 4.7931, Trumpets
11, 5.931, 3.8276, 3.8621, 5.8276, 4.6897, Trumpets
12, 4.6897, 5.069, 5.4138, 4.8966, 4.6552, Trumpets
13, 3.1379, 6.8276, 7.0345, 3.6897, 4.6552, Trumpets
14, 5.931, 4.1034, 3.6897, 5.8621, 4.5862, Tuba
15, 6.8276, 4.7586, 3.9655, 6.3103, 4.6207, Acoustic Guitar
16, 6.4138, 6.5517, 5.5172, 6.4138, 5.1724, Acoustic Guitar
17, 5.3448, 5.8966, 5.7586, 5.2069, 4.2759, Acoustic Guitar
18, 4.5862, 7.0345, 6.6897, 4.5517, 5.2069, Acoustic Guitar
19, 6.931, 6.1379, 4.7241, 6.3448, 5.1034, Acoustic Guitar
20, 5.7931, 5.8966, 5.4828, 5.4483, 4.5862, Electric Guitar
21, 3.7931, 6.4138, 6.7931, 4.4828, 4.8621, Electric Guitar
22, 4.069, 7.1379, 7, 4.3793, 4.5172, Electric Guitar
23, 5.3103, 5.5862, 4.9655, 5.4138, 4.4483, Harp Harmonics
24, 7.4138, 4.3448, 3.1035, 7.069, 5.5517, Harp Single Notes
25, 5.2414, 6.931, 6.069, 5.6897, 4.8276, Harpsichord
26, 5.5862, 7, 6.2414, 5.8621, 5.069, Harpsichord
27, 6.1379, 6.7586, 5.6552, 5.8966, 5.6552, Harpsichord
28, 5.1034, 6.931, 6.8276, 5.3448, 5.3793, Organ
29, 2.7931, 6.8621, 7.2414, 3.3103, 4, Organ
30, 5.9655, 5.3793, 5.1379, 5.931, 5.4483, Organ
31, 4.8621, 4.4483, 4.3793, 4.8276, 4.1724, Organ
