nro, valence, energy, tension, preference, intensity,instrument
1, 1.9375, 2.0000, 0.5000, 1.8750, 1.8125, Accordion
2, 2.0909, 0.4545, -1.3636, 1.7273, 0, Acoustic Bass
3, 2.6111, 1.3333, 0, 2.1667, 0.9444, Acoustic Guitar
4, 2.6667, 0.0556, -0.1111, 2.7778, 2.3333, Cello
5, 1.8125, 0.8125, -0.2500, 1.0625, 0.4375, Clarinet
6, 1.7778, 0.8889, -0.0556, 2.0556, -0.1111, Electric Bass
7, 1.0000, 2.7778, 2.5556, 1.7222, 1.3333, Electric Guitar
8, 2.0000, 1.0000, -0.7000, 1.3500, 0.3500, Flute
9, 2.5000, -0.0556, -1.5556, 2.1111, -0.6111, Harp
10, 0.3333, 2.2500, 2.0000, 1.4167, -1.0000, Harpsichord
11, 1.2500, 2.0000, -0.7500, 1.0000, -0.6250, Marimba
12, 1.0833, 0.5833, 0.6667, 1.5833, 0.0833, Oboe
13, 1.0000, 1.6250, 1.1875, 0.8125, 0.8750, Organ
14, 2.3750, 1.9167, -0.2083, 2.4583, 1.7500, Piano
15, 1.7895, 1.3158, -0.6316, 1.5789, 1.4211, Saxophone
16, -0.1111, 2.4444, 2.2778, -0.6111, 0.4444, Trumpet
17, 0.2500, -0.3750, -0.5000, 0.3750, -0.6250, Tuba
18, 1.8571, 1.5714, 1.0000, 1.8095, 2.2381, Violin
19, 1.5000, 1.9167, 0.6667, 1.2500, -0.9167, Violin Pizzicato
