"trial","valence","energy","tension","preference","intensity","subset","articulation","instruments"
"1",5.16666666666667,4.45833333333333,4.33333333333333,4.95833333333333,3.375,"2","Staccato","Bassoon"
"2",4.875,5.5,4.54166666666667,4.70833333333333,3.83333333333333,"1","Staccato","Bassoon"
"3",6.33333333333333,3.75,4.125,5.375,4.625,"2","Vibrato","Oboe Solo"
"4",5.33333333333333,5.41666666666667,5.625,5.08333333333333,5.58333333333333,"1","Vibrato","Oboe Solo"
"5",5.5,3.25,3.45833333333333,5.25,3.75,"2","Legato","Bassoon"
"6",5.25,3.79166666666667,4.25,4.58333333333333,5.08333333333333,"1","Legato","Bassoon"
"7",4.70833333333333,4.45833333333333,4.375,4.41666666666667,4.45833333333333,"2","Sforzato","Bassoon"
"8",5.125,4.58333333333333,4.29166666666667,4.70833333333333,4.625,"1","Sforzato","Bassoon"
"9",5.41666666666667,4.75,5.08333333333333,5.29166666666667,6.125,"2","Legato","Cello"
"10",4.70833333333333,7.33333333333333,7.45833333333333,4.91666666666667,7.29166666666667,"1","Legato","Cello"
"11",5.45833333333333,7.08333333333333,7,5.75,7.125,"2","Marcato","Cello"
"12",5.33333333333333,7.16666666666667,6.95833333333333,5.33333333333333,6.95833333333333,"1","Marcato","Cello"
"13",7.625,5.58333333333333,3.95833333333333,7.25,5.33333333333333,"2","Pizzicato","Cello"
"14",7.16666666666667,5.375,4.95833333333333,6.66666666666667,5.79166666666667,"1","Pizzicato","Cello"
"15",4.70833333333333,7.375,7.29166666666667,5,7.25,"2","Sforzato","Cello"
"16",4.625,7.29166666666667,7.54166666666667,4.95833333333333,6.83333333333333,"1","Sforzato","Cello"
"17",6.91666666666667,3,2.75,6.25,5.70833333333333,"2","Legato","Clarinet"
"18",4.875,4.58333333333333,5,4.66666666666667,3.95833333333333,"1","Legato","Clarinet"
"19",4.91666666666667,5.875,6.04166666666667,4.83333333333333,5.54166666666667,"2","Sforzato","Clarinet"
"20",5,6,6.08333333333333,4.875,5.25,"1","Sforzato","Clarinet"
"21",6.25,6.20833333333333,5.16666666666667,6.25,5.16666666666667,"2","Staccato","Clarinet"
"22",4.66666666666667,7.5,6.125,5.08333333333333,5.66666666666667,"1","Staccato","Clarinet"
"23",4.41666666666667,5.875,5.33333333333333,4.375,4.29166666666667,"2","Plain","Clarinet"
"24",4.33333333333333,5.45833333333333,5.29166666666667,4.08333333333333,4.45833333333333,"1","Plain","Clarinet"
"25",7,2.75,2.75,6,5.79166666666667,"2","Legato","Flute"
"26",6.04166666666667,4.58333333333333,4.58333333333333,5.66666666666667,5.58333333333333,"1","Legato","Flute"
"27",6.125,5.91666666666667,5.16666666666667,6.04166666666667,5.95833333333333,"2","Sforzato","Flute"
"28",5.83333333333333,5.16666666666667,5.08333333333333,5.875,6.04166666666667,"1","Sforzato","Flute"
"29",6.70833333333333,3.29166666666667,3.125,6,5.70833333333333,"2","Vibrato","Flute"
"30",5.75,4.79166666666667,4,5.79166666666667,5.70833333333333,"1","Vibrato","Flute"
"31",5.875,3.45833333333333,3.54166666666667,5.33333333333333,4.625,"2","Legato","Horn"
"32",4.91666666666667,4.95833333333333,4.79166666666667,4.91666666666667,4.45833333333333,"1","Legato","Horn"
"33",3.83333333333333,7.08333333333333,7,4,5.375,"2","Sforzato","Horn"
"34",3.66666666666667,6.91666666666667,6.83333333333333,3.83333333333333,5.75,"1","Sforzato","Horn"
"35",6.5,4.83333333333333,3.625,5.95833333333333,4,"2","Staccato","Horn"
"36",3.79166666666667,7.91666666666667,7.33333333333333,4.45833333333333,6.08333333333333,"1","Staccato","Horn"
"37",7.25,4.08333333333333,3.16666666666667,6.58333333333333,5.79166666666667,"2","Vibrato","Horn"
"38",4.875,4.83333333333333,5.5,5.08333333333333,5.83333333333333,"1","Vibrato","Horn"
"39",7.125,5.5,3.16666666666667,6.875,4.33333333333333,"2","Plain","Marimba"
"40",7.125,4.875,4,6.58333333333333,4.58333333333333,"1","Plain","Marimba"
"41",5.95833333333333,4.20833333333333,3.75,5.29166666666667,4.875,"2","Legato","Oboe"
"42",4,4.70833333333333,5,3.91666666666667,4.08333333333333,"1","Legato","Oboe"
"43",4.33333333333333,5.91666666666667,5.58333333333333,4.70833333333333,4.75,"2","Sforzato","Oboe"
"44",4.75,5.91666666666667,5.5,4.33333333333333,4.66666666666667,"1","Sforzato","Oboe"
"45",5.375,6.95833333333333,5.5,5.25,4.79166666666667,"2","Staccato","Oboe"
"46",4.75,7.125,6.375,4.66666666666667,4.66666666666667,"1","Staccato","Oboe"
"47",3.83333333333333,6.83333333333333,6.79166666666667,4.08333333333333,5.16666666666667,"2","Sforzato","Trombone"
"48",3.625,6.5,6.83333333333333,3.75,5.58333333333333,"1","Sforzato","Trombone"
"49",5.45833333333333,5.91666666666667,5.45833333333333,5.29166666666667,4.16666666666667,"2","Staccato","Trombone"
"50",3.45833333333333,7.625,7.375,3.5,5.45833333333333,"1","Staccato","Trombone"
"51",6.33333333333333,3.91666666666667,3.95833333333333,5.91666666666667,5.33333333333333,"2","Vibrato","Trombone"
"52",6.33333333333333,4.45833333333333,4.33333333333333,6.16666666666667,5.20833333333333,"1","Vibrato","Trombone"
"53",4.125,6.66666666666667,6.45833333333333,5,5.70833333333333,"2","Sforzato","Trumpet"
"54",4.375,6.79166666666667,6.5,4.33333333333333,5.66666666666667,"1","Sforzato","Trumpet"
"55",5.04166666666667,7.125,5.83333333333333,5.66666666666667,4.66666666666667,"2","Staccato","Trumpet"
"56",3.875,7.41666666666667,7.20833333333333,4.41666666666667,5.54166666666667,"1","Staccato","Trumpet"
"57",6.29166666666667,5.25,4.95833333333333,5.54166666666667,5.20833333333333,"2","Vibrato","Trumpet"
"58",4,6.08333333333333,6.95833333333333,4.04166666666667,5.54166666666667,"1","Vibrato","Trumpet"
"59",5.75,5.95833333333333,4.83333333333333,5.5,4.375,"2","Plain","Vibraphone"
"60",4.875,6.75,5.29166666666667,5.5,5.5,"1","Plain","Vibraphone"
"61",6.625,4.75,4.66666666666667,6.16666666666667,6.16666666666667,"2","Vibrato","Vibraphone"
"62",5.66666666666667,6.04166666666667,5.25,5.33333333333333,5.79166666666667,"1","Vibrato","Vibraphone"
"63",6.5,4.66666666666667,5.41666666666667,5.79166666666667,6.16666666666667,"2","Legato","Violin"
"64",5.625,6.16666666666667,6.79166666666667,5.33333333333333,6.66666666666667,"1","Legato","Violin"
"65",6,5.875,6.41666666666667,5.45833333333333,6.5,"2","Marcato","Violin"
"66",3.91666666666667,7.33333333333333,7.58333333333333,4.125,7.25,"1","Marcato","Violin"
"67",6.91666666666667,5.29166666666667,4.875,6.91666666666667,4.95833333333333,"2","Pizzicato","Violin"
"68",6.75,6.16666666666667,5.25,6.70833333333333,5,"1","Pizzicato","Violin"
"69",5.45833333333333,6.375,6.25,5,6.625,"2","Sforzato","Violin"
"70",5.75,6.33333333333333,6.45833333333333,5.70833333333333,6.29166666666667,"1","Sforzato","Violin"
"71",4.66666666666667,5.20833333333333,5.125,4.625,4.04166666666667,"3","Staccato","Bassoon"
"72",4.75,5.125,4.83333333333333,4.16666666666667,4.70833333333333,"3","Vibrato","Oboe Solo"
"73",5.04166666666667,3.95833333333333,4.5,4.625,4.95833333333333,"3","Legato","Bassoon"
"74",5.08333333333333,4.33333333333333,5.04166666666667,4.75,4.70833333333333,"3","Sforzato","Bassoon"
"75",5.45833333333333,6.04166666666667,6.66666666666667,4.875,6.25,"3","Legato","Cello"
"76",5.83333333333333,6,6.58333333333333,5.08333333333333,6.41666666666667,"3","Marcato","Cello"
"77",6.33333333333333,5.5,4.875,6.29166666666667,5.375,"3","Pizzicato","Cello"
"78",4.75,5.83333333333333,5.95833333333333,5.08333333333333,5.91666666666667,"3","Sforzato","Cello"
"79",5.25,4.33333333333333,4.29166666666667,4.95833333333333,3.95833333333333,"3","Legato","Clarinet"
"80",5.16666666666667,5.20833333333333,5.41666666666667,4.91666666666667,5.04166666666667,"3","Sforzato","Clarinet"
"81",5.41666666666667,6.79166666666667,5.25,5.29166666666667,4.29166666666667,"3","Staccato","Clarinet"
"82",4.41666666666667,5.91666666666667,5.58333333333333,4.41666666666667,5.04166666666667,"3","Plain","Clarinet"
"83",5,3.91666666666667,4.70833333333333,4.41666666666667,5.25,"3","Legato","Flute"
"84",5.875,4.58333333333333,4.25,5.33333333333333,5.625,"3","Sforzato","Flute"
"85",4.875,4.08333333333333,4.04166666666667,4.58333333333333,5.16666666666667,"3","Vibrato","Flute"
"86",4.45833333333333,4.45833333333333,4.875,3.66666666666667,4,"3","Legato","Horn"
"87",3.5,6.375,6.66666666666667,3.5,5.41666666666667,"3","Sforzato","Horn"
"88",4.54166666666667,7.33333333333333,6.41666666666667,4.5,4.54166666666667,"3","Staccato","Horn"
"89",5.45833333333333,4.29166666666667,4.66666666666667,4.875,4.95833333333333,"3","Vibrato","Horn"
"90",6.45833333333333,4.45833333333333,3.16666666666667,5.91666666666667,4.04166666666667,"3","Plain","Marimba"
"91",4.16666666666667,5.16666666666667,5.45833333333333,3.83333333333333,4.41666666666667,"3","Legato","Oboe"
"92",4.125,5.41666666666667,5.66666666666667,3.75,4.04166666666667,"3","Sforzato","Oboe"
"93",4.83333333333333,7.04166666666667,6.125,5.25,4.875,"3","Staccato","Oboe"
"94",4.5,5.29166666666667,5.375,3.95833333333333,4.58333333333333,"3","Sforzato","Trombone"
"95",4.29166666666667,7.33333333333333,6.41666666666667,4.41666666666667,4.04166666666667,"3","Staccato","Trombone"
"96",4.79166666666667,4.79166666666667,5,4.58333333333333,5.41666666666667,"3","Vibrato","Trombone"
"97",3.70833333333333,5.25,6.125,4.16666666666667,4.95833333333333,"3","Sforzato","Trumpet"
"98",3.91666666666667,7.54166666666667,6.58333333333333,3.95833333333333,4.66666666666667,"3","Staccato","Trumpet"
"99",4.54166666666667,5.41666666666667,5.41666666666667,4.29166666666667,4.54166666666667,"3","Vibrato","Trumpet"
"100",5.29166666666667,5.5,5.16666666666667,5.33333333333333,4.91666666666667,"3","Plain","Vibraphone"
"101",5.625,5.33333333333333,5.04166666666667,5.75,5.33333333333333,"3","Vibrato","Vibraphone"
"102",4.5,5.5,6.91666666666667,4.33333333333333,6.375,"3","Legato","Violin"
"103",4.20833333333333,6.83333333333333,7.58333333333333,4.33333333333333,6.75,"3","Marcato","Violin"
"104",6.20833333333333,5.375,4.79166666666667,6.375,4.54166666666667,"3","Pizzicato","Violin"
"105",4.45833333333333,6.45833333333333,6.45833333333333,4.83333333333333,6.20833333333333,"3","Sforzato","Violin"
